,,,,,
,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,
Latest International Weekends,,,,,
International,,,,,
"Data as of Nov 14, 1:34 PST",,,,,
Area,Weekend,Releases,#1 Release,Distributor,Weekend Gross
"Weekend Ending November 13, 2022",,,,,
Japan,Nov 12-13,1,Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$3,500,000 "
United Kingdom,Nov 11-13,1,Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$15,000,000 "
France,Nov 9-13,5,Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$13,700,000 "
Mexico,Nov 11-13,1,Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$12,800,000 "
South Korea,Nov 11-13,1,Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$8,900,000 "
Brazil,Nov 10-13,8,Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$7,100,000 "
Australia,Nov 10-13,7,Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$6,800,000 "
India,Nov 11-13,1,Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$6,400,000 "
Germany,Nov 10-13,5,Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$6,100,000 "
Indonesia,Nov 9-13,2,Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$6,100,000 "
Italy,Nov 10-13,7,Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$4,200,000 "
Austria,Nov 10-13,6,Ticket to Paradise,Universal Pictures International (UPI),"$75,995 "
Netherlands,Nov 10-13,6,Ticket to Paradise,Universal Pictures International (UPI),"$33,545 "
Switzerland,Nov 9-13,7,Ticket to Paradise,Universal Pictures International (UPI),"$22,255 "
New Zealand,Nov 10-13,5,Mrs. Harris Goes to Paris,Universal Pictures International (UPI),"$17,173 "
Trinidad & Tobago,Nov 9-13,2,Ticket to Paradise,-,"$16,032 "
Hungary,Nov 10-13,4,Ticket to Paradise,Universal Pictures International (UPI),"$8,277 "
Belgium,Nov 9-13,3,Ticket to Paradise,Universal Pictures International (UPI),"$5,966 "
Nigeria,Nov 9-13,2,Halloween Ends,Universal Pictures International (UPI),"$2,687 "
Portugal,Nov 10-13,5,Mrs. Harris Goes to Paris,Cinemundo,"$2,567 "
Czech Republic,Nov 10-13,3,Ticket to Paradise,Universal Pictures International (UPI),"$2,150 "
Denmark,Nov 10-13,5,Mrs. Harris Goes to Paris,Universal Pictures International (UPI),"$1,999 "
Egypt,Nov 9-13,2,Ticket to Paradise,Universal Pictures,"$1,797 "
Croatia,Nov 10-13,2,Ticket to Paradise,-,"$1,194 "
Slovakia,Nov 10-13,2,Ticket to Paradise,Universal Pictures International (UPI),"$1,029 "
Hong Kong,Nov 10-13,2,Ticket to Paradise,Universal Pictures International (UPI),$881 
Central America,Nov 10-13,3,Ticket to Paradise,Universal Pictures International (UPI),$754 
